n mean median p90 p99 p999 max
4645000 41.77860000 22 99 317 569 1451
4655000 42.28760000 22 101 303 746 1346
4665000 41.88460000 22 101 305 786 1730
4675000 42.86580000 22 101 326 696 1310
4685000 41.95100000 22 97 311 647 1289
4695000 41.97880000 22 98 311 827 2258
4705000 42.52800000 22 102 316 719 1187
4715000 42.61840000 22 101 311 689 1838
4725000 41.16460000 22 97 296 737 2165
4735000 42.82800000 22 98 332 662 1283
4745000 42.35120000 22 101 320 746 1808
4755000 41.55160000 22 98 302 683 2153
4765000 42.26880000 22 99 317 683 1388
4775000 41.64020000 22 98 314 683 1355
4785000 42.11020000 22 101 311 692 1346
4795000 41.94060000 22 98 305 809 1493
4805000 42.77740000 22 102 329 683 1052
4815000 42.45100000 22 98 317 717 2123
4825000 42.13740000 22 102 309 716 944
4835000 42.08300000 22 98 329 701 1205
4845000 41.77000000 22 101 302 656 947
4855000 41.85360000 22 98 303 687 1709
4865000 49.16840000 22 101 317 782 60794
4875000 41.98000000 22 98 311 695 1149
4885000 41.83500000 22 101 308 656 1229
4895000 42.43000000 22 101 317 641 1544
4905000 41.99140000 22 98 309 758 1682
4915000 41.75700000 22 97 310 653 1724
4925000 41.90420000 22 99 314 674 1136
4935000 41.94940000 22 97 311 618 1871
4945000 42.00480000 22 101 331 618 1061
4955000 42.80600000 22 102 317 641 3026
4965000 42.43960000 22 101 305 701 1115
4975000 43.96620000 22 99 311 773 19241
4985000 42.05200000 22 101 296 689 1712
4995000 42.31120000 22 101 317 656 1577
5005000 41.03460000 22 96 302 543 1175
5015000 42.95360000 22 102 327 701 1070
5025000 41.74840000 22 98 311 695 1013
5035000 42.72300000 22 101 309 743 1322
5045000 41.89640000 22 98 311 599 1091
5055000 41.79280000 22 97 320 653 1208
5065000 42.84780000 22 101 320 746 1544
5075000 42.46600000 22 101 320 674 1362
5085000 42.61240000 22 101 316 827 2063
5095000 42.21960000 22 95 335 734 1754
5105000 42.51860000 22 101 310 764 1614
5115000 42.17320000 22 97 320 695 1184
5125000 42.07560000 22 97 302 692 2549
5135000 42.28400000 22 101 332 704 1388
5145000 42.76840000 22 101 314 716 1766
5155000 42.08640000 22 97 329 776 1745
5165000 42.30820000 22 99 319 761 1082
5175000 42.13840000 22 101 311 683 953
5185000 41.92620000 22 101 308 593 950
5195000 41.72900000 22 101 290 660 1730
5205000 41.95540000 22 101 311 755 1208
5215000 43.11360000 22 101 347 719 1058
5225000 42.70640000 22 101 335 681 1613
5235000 43.67140000 22 101 335 866 1922
5245000 42.15420000 22 101 296 674 1094
5255000 42.15040000 22 101 298 788 1535
5265000 42.11440000 22 98 314 758 1409
5275000 42.46920000 22 101 311 757 1478
5285000 42.31040000 22 97 308 771 1257
5295000 42.87580000 22 101 329 716 1425
5305000 42.18540000 22 99 314 725 1796
5315000 42.71480000 22 101 311 662 2297
5325000 42.61840000 22 98 323 821 2048
5335000 41.78940000 22 99 311 701 1331
5345000 43.40440000 22 102 321 737 1322
5355000 41.97220000 22 98 335 680 1250
5365000 42.52140000 22 101 317 620 971
5375000 42.16700000 22 99 312 785 1550
5385000 42.28300000 22 101 311 716 1184
5395000 42.04140000 22 98 331 800 1139
5405000 42.45140000 22 101 313 702 1544
5415000 42.92500000 22 103 302 755 1730
5425000 42.38160000 22 101 317 695 1136
5435000 42.47020000 22 98 332 737 2531
5445000 41.92600000 22 101 317 716 1013
5455000 43.35420000 22 103 317 860 1502
5465000 42.32120000 22 99 305 782 1397
5475000 42.06640000 22 99 332 704 1856
5485000 42.66780000 22 103 309 683 1502
5495000 42.03320000 22 101 295 638 1164
5505000 41.98000000 22 99 311 662 1094
5515000 42.08580000 22 98 318 704 1658
5525000 42.67420000 22 99 317 809 1355
5535000 43.22080000 22 98 331 911 1202
5545000 96.00420000 22 101 317 743 536429
5555000 42.75620000 22 101 321 662 1346
5565000 43.42600000 22 101 338 821 2474
5575000 42.53700000 22 101 314 816 2360
5585000 42.70880000 22 102 320 718 1388
5595000 42.46420000 22 102 311 632 998
5605000 43.44960000 22 101 335 836 1688
5615000 42.99700000 22 101 317 668 3149
5625000 42.37960000 22 98 317 647 1793
5635000 41.87340000 22 98 327 626 1037
5645000 42.34760000 22 102 302 734 1551
5655000 42.43000000 22 102 302 596 1724
5665000 49.03440000 22 98 305 599 73580
5675000 42.77840000 22 101 320 905 2060
5685000 41.99980000 22 101 302 647 1104
5695000 42.50040000 22 102 326 698 977
5705000 42.06400000 22 99 302 695 1229
5715000 43.38220000 22 101 356 749 1388
5725000 41.96400000 22 97 314 716 1472
5735000 42.56240000 22 102 314 683 1244
5745000 41.35660000 22 97 287 543 3056
5755000 42.04860000 22 98 317 629 1448
5765000 42.74900000 22 99 338 764 1292
5775000 42.96340000 22 103 318 692 1334
5785000 42.77880000 22 103 303 836 1514
5795000 42.10780000 22 101 302 623 1283
5805000 41.89360000 22 99 287 788 1373
5815000 42.01860000 22 101 299 647 1481
5825000 42.91820000 22 101 323 764 1640
5835000 42.30460000 22 101 302 683 1103
5845000 43.30860000 22 102 314 779 1838
5855000 42.53960000 22 101 321 695 1670
5865000 42.55120000 22 102 309 677 1460
5875000 41.03880000 22 97 294 554 1136
5885000 43.45780000 22 103 330 746 1502
5895000 42.33640000 22 99 302 725 1467
5905000 42.90120000 22 101 341 737 1145
5915000 42.81860000 22 101 311 752 1394
5925000 43.32640000 22 103 317 743 1223
5935000 42.22860000 22 101 314 746 2174
5945000 42.83180000 22 101 323 737 1619
5955000 42.31720000 22 101 311 683 1367
5965000 42.90240000 22 102 311 716 1163
5975000 41.71720000 22 98 293 746 1853
5985000 42.11920000 22 98 311 719 1061
5995000 43.05960000 22 101 311 758 2426
6005000 42.86240000 22 101 316 746 1472
6015000 42.33820000 22 104 311 557 1086
6025000 42.56940000 22 99 314 764 1331
6035000 42.49220000 22 103 302 767 1418
6045000 43.11520000 22 101 318 797 1277
6055000 42.80880000 22 101 321 764 2186
6065000 42.37240000 22 98 311 743 1583
6075000 42.99940000 22 101 330 767 1217
6085000 43.64160000 22 104 332 750 1838
6095000 42.56120000 22 101 337 764 1115
6105000 42.31780000 22 101 305 674 1247
6115000 42.83640000 22 103 312 656 989
6125000 42.39860000 22 101 323 618 1415
